id_red,reference,latitude,longitude
red1,"Lima, G., Leite, A., Souza, C., Castro, C., de Santana Bezerra, E. (2020). A multilayer network in an herbaceous tropical community
reveals multiple roles of floral visitors. Oikos. ",-7.92083,-34.92083
red2,"Oleques, S., Vizentin‑Bugoni, J., Overbeck, G. (2019). Influence of grazing intensity on patterns and structuring processes in plantpollinator
networks in a subtropical grassland. Arthropod-Plant Interactions, 13(5), 757-770.",-30.09222,-51.67222
red3,"Oleques, S., Vizentin‑Bugoni, J., Overbeck, G. (2019). Influence of grazing intensity on patterns and structuring processes in plantpollinator
networks in a subtropical grassland. Arthropod-Plant Interactions, 13(5), 757-770.",-30.09222,-51.67222
red4,"Oleques, S., Vizentin‑Bugoni, J., Overbeck, G. (2019). Influence of grazing intensity on patterns and structuring processes in plantpollinator
networks in a subtropical grassland. Arthropod-Plant Interactions, 13(5), 757-770.",-30.09222,-51.67222
red5,"Oleques, S., Vizentin‑Bugoni, J., Overbeck, G. (2019). Influence of grazing intensity on patterns and structuring processes in plantpollinator
networks in a subtropical grassland. Arthropod-Plant Interactions, 13(5), 757-770.",-30.09222,-51.67222
red6,"Oleques, S., Vizentin‑Bugoni, J., Overbeck, G. (2019). Influence of grazing intensity on patterns and structuring processes in plantpollinator
networks in a subtropical grassland. Arthropod-Plant Interactions, 13(5), 757-770.",-30.09222,-51.67222
red7,"Oleques, S., Vizentin‑Bugoni, J., Overbeck, G. (2019). Influence of grazing intensity on patterns and structuring processes in plantpollinator
networks in a subtropical grassland. Arthropod-Plant Interactions, 13(5), 757-770.",-30.09222,-51.67222
red8,"Oleques, S., Vizentin‑Bugoni, J., Overbeck, G. (2019). Influence of grazing intensity on patterns and structuring processes in plantpollinator
networks in a subtropical grassland. Arthropod-Plant Interactions, 13(5), 757-770.",-30.09222,-51.67222
red9,"Oleques, S., Vizentin‑Bugoni, J., Overbeck, G. (2019). Influence of grazing intensity on patterns and structuring processes in plantpollinator
networks in a subtropical grassland. Arthropod-Plant Interactions, 13(5), 757-770.",-30.09222,-51.67222
red10,"Oleques, S., Vizentin‑Bugoni, J., Overbeck, G. (2019). Influence of grazing intensity on patterns and structuring processes in plantpollinator
networks in a subtropical grassland. Arthropod-Plant Interactions, 13(5), 757-770.",-30.09222,-51.67222
red11,"Oleques, S., Vizentin‑Bugoni, J., Overbeck, G. (2019). Influence of grazing intensity on patterns and structuring processes in plantpollinator
networks in a subtropical grassland. Arthropod-Plant Interactions, 13(5), 757-770.",-30.09222,-51.67222
red12,"Oleques, S., Vizentin‑Bugoni, J., Overbeck, G. (2019). Influence of grazing intensity on patterns and structuring processes in plantpollinator
networks in a subtropical grassland. Arthropod-Plant Interactions, 13(5), 757-770.",-30.09222,-51.67222
red13,"Oleques, S., Vizentin‑Bugoni, J., Overbeck, G. (2019). Influence of grazing intensity on patterns and structuring processes in plantpollinator
networks in a subtropical grassland. Arthropod-Plant Interactions, 13(5), 757-770.",-30.09222,-51.67222
red14,"Beal-Neves, M., Vogel Ely, C., Westerhofer Esteves, M., Blochtein, B., Lahm, R. A., Quadros, E. L., & Abreu Ferreira, P. M. (2020). The Influence of Urbanization and Fire Disturbance on Plant-floral Visitor Mutualistic Networks. Diversity, 12(4), 141.",-30.10704,-51.09144
red15,"Beal-Neves, M., Vogel Ely, C., Westerhofer Esteves, M., Blochtein, B., Lahm, R. A., Quadros, E. L., & Abreu Ferreira, P. M. (2020). The Influence of Urbanization and Fire Disturbance on Plant-floral Visitor Mutualistic Networks. Diversity, 12(4), 141.",-30.08898,-51.09143
red16,"Beal-Neves, M., Vogel Ely, C., Westerhofer Esteves, M., Blochtein, B., Lahm, R. A., Quadros, E. L., & Abreu Ferreira, P. M. (2020). The Influence of Urbanization and Fire Disturbance on Plant-floral Visitor Mutualistic Networks. Diversity, 12(4), 141.",-30.10304,-51.23509
red17,"Beal-Neves, M., Vogel Ely, C., Westerhofer Esteves, M., Blochtein, B., Lahm, R. A., Quadros, E. L., & Abreu Ferreira, P. M. (2020). The Influence of Urbanization and Fire Disturbance on Plant-floral Visitor Mutualistic Networks. Diversity, 12(4), 141.",-30.10458,-51.23916
red18,"Beal-Neves, M., Vogel Ely, C., Westerhofer Esteves, M., Blochtein, B., Lahm, R. A., Quadros, E. L., & Abreu Ferreira, P. M. (2020). The Influence of Urbanization and Fire Disturbance on Plant-floral Visitor Mutualistic Networks. Diversity, 12(4), 141.",-30.10524,-51.24328
red19,"Beal-Neves, M., Vogel Ely, C., Westerhofer Esteves, M., Blochtein, B., Lahm, R. A., Quadros, E. L., & Abreu Ferreira, P. M. (2020). The Influence of Urbanization and Fire Disturbance on Plant-floral Visitor Mutualistic Networks. Diversity, 12(4), 141.",-30.17021,-51.11241
red20,"Beal-Neves, M., Vogel Ely, C., Westerhofer Esteves, M., Blochtein, B., Lahm, R. A., Quadros, E. L., & Abreu Ferreira, P. M. (2020). The Influence of Urbanization and Fire Disturbance on Plant-floral Visitor Mutualistic Networks. Diversity, 12(4), 141.",-30.16236,-51.11332
red21,"Beal-Neves, M., Vogel Ely, C., Westerhofer Esteves, M., Blochtein, B., Lahm, R. A., Quadros, E. L., & Abreu Ferreira, P. M. (2020). The Influence of Urbanization and Fire Disturbance on Plant-floral Visitor Mutualistic Networks. Diversity, 12(4), 141.",-30.15819,-51.11624
red22,"Beal-Neves, M., Vogel Ely, C., Westerhofer Esteves, M., Blochtein, B., Lahm, R. A., Quadros, E. L., & Abreu Ferreira, P. M. (2020). The Influence of Urbanization and Fire Disturbance on Plant-floral Visitor Mutualistic Networks. Diversity, 12(4), 141.",-30.35022,-51.02771
red23,"Beal-Neves, M., Vogel Ely, C., Westerhofer Esteves, M., Blochtein, B., Lahm, R. A., Quadros, E. L., & Abreu Ferreira, P. M. (2020). The Influence of Urbanization and Fire Disturbance on Plant-floral Visitor Mutualistic Networks. Diversity, 12(4), 141.)",-30.33753,-51.03851
red24,"Beal-Neves, M., Vogel Ely, C., Westerhofer Esteves, M., Blochtein, B., Lahm, R. A., Quadros, E. L., & Abreu Ferreira, P. M. (2020). The Influence of Urbanization and Fire Disturbance on Plant-floral Visitor Mutualistic Networks. Diversity, 12(4), 141.",-30.33957,-51.03858
red25,"Beta diversity and specialization in plant–pollinator networks
along an elevational gradient(Lara - Romero et al 2019)",28.27083,-16.63917
red26,"Beta diversity and specialization in plant–pollinator networks
along an elevational gradient(Lara - Romero et al 2019)",28.27083,-16.63917
red27,"Beta diversity and specialization in plant–pollinator networks
along an elevational gradient(Lara - Romero et al 2019)",28.27083,-16.63917
